Contracts,10DP,15DP,25DP,35DP,50D,35DC,25DC,15DC,10DC,Weighting
Aug,70.20,61.03,52.69,49.31,47.27,47.25,48.40,51.72,56.23,10
Sep,43.72,40.23,37.56,36.55,36.25,37.05,38.56,42.53,48.71,7
Oct,41.66,37.74,34.93,33.89,33.44,33.87,34.87,37.64,42.02,5.25
Nov,40.46,36.83,34.19,33.15,32.55,32.64,33.24,35.09,38.02,3.68
Dec,41.85,37.28,34.19,32.94,31.93,31.41,31.51,32.83,35.68,2.57
Jan,40.88,36.63,33.63,32.36,31.07,30.14,29.94,31.02,33.81,1.8
Feb,39.35,35.92,33.18,31.78,30.28,29.21,28.93,29.71,31.80,1.26
Mar,38.48,35.12,32.35,30.91,29.24,27.96,27.53,28.12,30.05,0.88
Apr,38.29,34.96,32.11,30.58,28.71,27.25,26.72,27.18,28.97,0.62
May,37.78,34.52,31.69,30.16,28.23,26.69,26.09,26.44,28.07,0.43
Jun,37.25,34.06,31.29,29.78,27.80,26.21,25.55,25.77,27.23,0.30
Jul,36.67,33.55,30.81,39.30,27.32,25.73,25.06,25.24,26.67,0.21
